id,portfolio,agency,acronym,program,component,outcome,outcome_text,last,current,plus1,plus2,plus3,souce,url
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Pilot of drought reform  measures in Western  Australia,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",1157,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - South Australian River Murray Sustainability Programme - irrigation industry assistance component,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",9000,17000,28000,39500,16500,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Australian Capital Territory emergency services,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",4000,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Bushfire mitigation ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,5000,5000,5000,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Legal assistance services,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",200550,204362,207838,211578,214963,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Natural Disaster Relief  and Recovery Arrangements,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",182943,97845,18024,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Natural disaster  resilience,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",17618,39150,26100,26100,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - School Pathways Programme,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",1287,1287,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Assistance to Tasmania to implement national policy reforms,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",30000,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Improving literacy and numeracy - Government Schools,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",62645,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Improving literacy and numeracy - Non- Government Schools,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",18129,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Independent Public Schools,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",10000,20000,20000,20000,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - More support for students with disabilities - Government Schools,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",61620,46357,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - National Occasional  Care Programme,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,3075,3124,3174,3228,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - National quality agenda for early childhood education and care,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",19080,19080,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Smarter schools - Improving teacher   quality ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",173814,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Smarter schools - Low socio-economic  status school communities,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",140888,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - TAFE fee waivers for childcare  qualifications,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",21213,11496,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Trade training centres in  schools - government schools,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",69115,69131,52218,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Universal access to early childhood education,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",407000,234900,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,"DoT - Administered expenses: Special account COAG Reform Fund - Youth attainment and  transitions - Maximising engagement, attainment and successful transitions",1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",18751,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Youth attainment and transitions - Year 12 attainment and transitions,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",28231,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Coal seam gas and large coal mining development,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",19700,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Great Artesian Basin Sustainability Initiative,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",15832,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Implementation of the Tasmanian Forests  Intergovernmental  Agreement,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",12479,13020,12769,10002,10253,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Implementing water reform in the Murray-Darling Basin,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",13500,20000,20000,20000,20000,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - National Urban Water and Desalination Plan,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",5590,1550,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - National Water Security Plan for Cities and Towns,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",18839,10110,2945,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Port Arthur Penitentiary  restoration,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,1500,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - South Australian River Murray Sustainability Programme -  irrigation efficiency and water purchase components,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",14000,29000,45000,23500,8500,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Sustainable Rural Water Use and Infrastructure Programme,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",363800,453006,530919,388291,147899,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Whale and dolphin entanglements,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,276,84,224,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Provision of fire services,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",18352,18995,19660,20347,21059,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Developing demand- driver infrastructure for tourism industry,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,11029,10675,10675,10675,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - 2018 Gold Coast Commonwealth Games,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",156000,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Adult public dental services services,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,0,200000,295000,390000,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Albury-Wodonga Cardiac Catheterisation Laboratory,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,5000,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Bright Hospital - feasibility study,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,100,50,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Canberra Hospital -  dedicated paediatric emergency care,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,5000,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Cancer Support Clinic in Katherine ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,500,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Construction of Palmerston Hospital,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,20000,20000,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Essential vaccines ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",249520,235773,234429,241450,238668,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Expansion of the BreastScreen Australia programme,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",5463,11862,13467,15641,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Financial assistance for long stay older patients,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",78231,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health and Hospitals Fund - Hospital infrastructure  and other projects of national significance,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",98180,66400,600,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health and Hospitals Fund - National cancer system,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",125259,117515,55391,0,4600,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health and Hospitals Fund - Regional priority round,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",235483,494149,251660,52410,4769,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health care grants for the  Torres Strait,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",4459,4519,4600,4671,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health Services  - National antimicrobial utilisation surveillance programme,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",150,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Health Services  - Northern Territory medical school -  funding contribution,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",2250,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Hepatitis C settlement fund,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",713,726,740,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Improving ear health  services for Indigenous  Australian children,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",677,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Improving Health Services in Tasmania - Better access to  community based  palliative care services component,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",1790,1700,1700,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.10: National Partnership Payments to the States,DoT - Administered expenses: Special account COAG Reform Fund - Improving Health Services in Tasmania - Cradle Coast  Connected Care clinical repository component,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",250,250,250,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
